"","pH","Na","K","Ca","Mg","PO4","Cl","SO4","NH4","HCO3","sc","exchanger"
"14",0.0162311949285825,0.524555780812257,1.91194427180644,-0.457609296961986,-0.359667667266009,-1.73755679286557,0.375490898408399,0.540685708382979,-2.72615382049591,0.847821009758277,0.395678349054821,"no_Buffer"
"15",0.0198046541540737,0.515975636699824,1.88242093939822,-0.477823611703203,-0.373833267350373,-1.77197424985235,0.363367172408311,0.519763315680104,-2.80486833648196,0.80776855287875,0.384114950220789,"no_Buffer"
"16",0.0235959793324976,0.507759979659987,1.85384431352323,-0.496277432870892,-0.386636669209116,-1.80329199855726,0.351933511650451,0.50037065732304,-2.87780318368468,0.771303580549071,0.373260622903048,"no_Buffer"
"31",0.00131439137442046,0.0162716115004367,0.301465153298333,-0.0572688718462935,-0.0408235940711013,0.00538472603779283,0.00178664221204183,0.00578934121922448,-0.0557011089443087,0.00516298947460214,0.00426390512982167,"no_CEC"
"41",0.00251885815828845,0.0304934518448561,0.490726248171493,-0.10826985275903,-0.0763210273072419,0.00949340538873855,0.00312729111037191,0.00999356568315424,-0.107530328066259,0.00874440982967251,0.0078083054104674,"no_CEC"
"51",0.00364778726234416,0.0431142199698233,0.62071734271513,-0.154130874121233,-0.107549556586861,0.0126174700474184,0.00409961096497335,0.0130156115105855,-0.1559062575484,0.0112933165031803,0.0107964450351208,"no_CEC"
"61",0.00471894638401893,0.0542546060084561,0.714764412080378,-0.195708901882926,-0.135191804223718,0.0149948693150179,0.00482968997054067,0.0152445915347554,-0.201342906084538,0.0131544785308915,0.0133412257824617,"no_CEC"
"71",0.00576207139035834,0.0641557217679583,0.785112006176194,-0.233673786598761,-0.159839204016731,0.0167842602751307,0.0054187237475003,0.0169376983310929,-0.244077941501113,0.0144648270107171,0.0155087714964299,"no_CEC"
"81",0.00675189447120861,0.0730871311820875,0.838900840135324,-0.268502034389916,-0.181922411079621,0.0181042046056756,0.0058485734538154,0.018165348923147,-0.284441533454579,0.0153989952590621,0.0173789751445987,"no_CEC"
"91",0.00771690897126387,0.0811530464734704,0.880610327308398,-0.300681054819361,-0.201893040853279,0.0190799493519389,0.00616727277381779,0.0190506692332093,-0.322670177828024,0.0160301755155174,0.0190159112100599,"no_CEC"
"101",0.00867122401475706,0.0884362564539902,0.913264366102323,-0.330492562633822,-0.219988480215254,0.0197966476821794,0.00638373176043272,0.0196417867233061,-0.358971834110354,0.0164075754491284,0.020442348403213,"no_CEC"
"111",0.00958906058954501,0.0950009300677963,0.938995858253147,-0.3582619939465,-0.236446668954391,0.0202827611835108,0.00653680871594586,0.0200915631852112,-0.393530225968917,0.0166252784971022,0.0216910184945363,"no_CEC"
"121",0.0104845619291236,0.10101379131413,0.959303381391363,-0.38423282299511,-0.251488313713526,0.020616769227539,0.0066616636502812,0.0203349839938332,-0.426486517734961,0.0167237733392156,0.022804475818619,"no_CEC"
"131",0.0113712818427683,0.106439614496092,0.975216163110919,-0.408617103443941,-0.265290628414729,0.0207870876822724,0.00672862812077435,0.0204622179302438,-0.457993390135268,0.0165368530247845,0.0237772237373459,"no_CEC"
"141",0.0122236867003802,0.111494782349881,0.987742191419302,-0.431570133547727,-0.278038018471285,0.0208908794634848,0.00677042434411179,0.020515960765227,-0.488148164332655,0.0164349344067123,0.024659208365847,"no_CEC"
"151",0.0130425468862514,0.116018909219517,0.997339177183436,-0.45320427327731,-0.289796159270032,0.0208826645801405,0.00678759315014998,0.020498106847529,-0.517097836051764,0.0160689049392007,0.0254137463645137,"no_CEC"
"161",0.0138540856657805,0.120253863872314,1.00467875795675,-0.473639517246973,-0.300698044711334,0.0208258543616395,0.00675150345301478,0.0204095776496969,-0.54491538332539,0.0157831559172141,0.0261148610097166,"no_CEC"
"32",-1.39921783726127e-05,9.82270026819165e-05,0.000111339976733404,0.00022350863953946,0.000191927528754299,-0.000415413174572166,0.000166333999052526,0.000566291513682593,9.23318407002327e-05,0.00323859025528428,0.000154667079421245,"no_Hfo"
"42",-2.77150340219912e-05,0.000142677098189825,0.000192454311200407,0.000418918358939813,0.000395562513023862,-0.00115556646308868,0.000317133119283497,0.000872981286344832,0.000157666535605117,0.00304392175888424,0.000276627725394718,"no_Hfo"
"52",-4.12164343721599e-05,0.000231123027815805,0.000263360340841068,0.000514820913099179,0.000475737401931298,-0.00219160777851179,0.000380300441929382,0.00101591610498541,0.000220609323844378,0.00287305825291462,0.000371796578443551,"no_Hfo"
"62",-5.45271136207504e-05,0.000270392070147008,0.000300020221004615,0.000603250027720215,0.000582109841158029,-0.00344459491881643,0.000440027875531435,0.00109292472301359,0.000260089298791399,0.0027351722597988,0.000427091258810464,"no_Hfo"
"72",-4.06006184885399e-05,0.000264293896349521,0.000345240006881298,0.000649960303086061,0.000650124630115378,-0.00489572435155061,0.000461557587501993,0.00116731530764813,0.000298883459025845,0.00260248446679778,0.000463484084308519,"no_Hfo"
"82",-5.37692225099917e-05,0.000302043108162398,0.000374391618001901,0.000729838251591453,0.000714775025220327,-0.00651960380137595,0.000517428735737457,0.00123969803980373,0.000316098920520425,0.00249341358320709,0.000498917680886279,"no_Hfo"
"92",-5.34273655095063e-05,0.000338767735613477,0.00038987875264862,0.000738999025905684,0.000719269253479204,-0.00828462539434049,0.000571399776903458,0.00122318830505908,0.00033342363865696,0.00240649744139176,0.000533567697289072,"no_Hfo"
"102",-5.31046294085513e-05,0.000374617582270531,0.000414878175380551,0.000749417607287306,0.000753106600174469,-0.0101531494219795,0.000590977757038758,0.00121285642520874,0.000350859092397293,0.00229689448995085,0.000552223480463354,"no_Hfo"
"112",-5.27969166723707e-05,0.00036873912125257,0.000438009001466177,0.000792581479233334,0.000786622041565543,-0.0120812458042163,0.000578499132315002,0.00124751017205149,0.000347950676385267,0.00222993676080385,0.000555935375563976,"no_Hfo"
"122",-5.25030845683894e-05,0.000363394104901715,0.000488878034669682,0.000804206662582629,0.000767003039492842,-0.0140609682463602,0.000598849596337825,0.0012054050259005,0.000365771884348831,0.00215475107855756,0.000575021947771148,"no_Hfo"
"132",-3.91657691229952e-05,0.00035850146772054,0.000470256298343408,0.000816684608541784,0.00080131316244092,-0.0160845256427535,0.000619195066223099,0.00120645467808078,0.000363504184301533,0.00202466478145791,0.000579642956177295,"no_Hfo"
"142",-3.89617979621448e-05,0.000393344614283642,0.000453288616618863,0.000800272728217699,0.000784740632877146,-0.0180778045083159,0.000639532249653296,0.00117327871492545,0.000381644894106081,0.00200392138503691,0.000584741126100852,"no_Hfo"
"152",-3.87644478374582e-05,0.000388726924234195,0.000437694233800912,0.000814711404467872,0.000794734923240448,-0.0200498749596854,0.000629864599939189,0.00117964588560326,0.000379882241075435,0.0019087934755273,0.000576194741652714,"no_Hfo"
"162",-2.57155347558324e-05,0.000384467517231091,0.000508001026926941,0.000801098692419622,0.000805359343599932,-0.0219888234417898,0.000591471005591426,0.00115261709203285,0.00037836923313872,0.00190718430345704,0.000582257790282981,"no_Hfo"
"33",-0.0198689519570983,0.263987549521655,0.272516030318872,0.599431758496165,0.593418254031978,-0.446194998081321,0.400685063990118,0.761757623906856,0.273260715735494,2.12923688952773,0.381937065917828,"no_OM"
"43",-0.0256148963077056,0.310243707557455,0.323659803816577,0.703132358839468,0.695697606713868,-0.691551556788536,0.472572486131817,0.825750194776309,0.320699668206851,1.79559907984226,0.446569630911712,"no_OM"
"53",-0.0278333586648984,0.319541644259999,0.336680158443357,0.722634832854871,0.714700391192687,-0.85369465907233,0.486741802621757,0.810572518655213,0.329409137811941,1.57105476675144,0.457864533671755,"no_OM"
"63",-0.0283282347276799,0.317071951930012,0.337217462552302,0.715615845903088,0.707567342115444,-0.970382275302471,0.482555189827735,0.777347034108163,0.325828158349615,1.40735187539961,0.452531767874268,"no_OM"
"73",-0.0277317223014293,0.310116746744647,0.332901885244652,0.698532688762922,0.690495872346795,-1.05858137465645,0.471325600328283,0.740504131512774,0.317541001586243,1.2813089044108,0.440997465754425,"no_OM"
"83",-0.0264096139278727,0.301376072809864,0.32648930700738,0.677590299070976,0.669603914665775,-1.12747052537703,0.457325260410657,0.70443124921727,0.307398529966782,1.18053653007374,0.427159107260717,"no_OM"
"93",-0.0244996300106239,0.292077126646499,0.319168561447653,0.655395866829167,0.647480640492182,-1.18262801076708,0.44239695156919,0.670512378411111,0.296676702115809,1.09756472541877,0.412654751417623,"no_OM"
"103",-0.0221621296099341,0.282715554866282,0.31155843730616,0.633237368885964,0.625415143601644,-1.22774778320366,0.427412600436861,0.639132267931592,0.285962115104174,1.02759403873457,0.398253162047371,"no_OM"
"113",-0.0194719180352991,0.273557879021304,0.304002572133805,0.611725205187057,0.603987320387355,-1.26548624313268,0.41281070283789,0.610300284426791,0.275571946077868,0.967562965427486,0.384311923915654,"no_OM"
"123",-0.0164894889498104,0.264796797050974,0.296639390641154,0.59114012095141,0.58342621428856,-1.29783088929717,0.398822246872833,0.583810206502687,0.265632705410268,0.915172350075498,0.370995836484262,"no_OM"
"133",-0.0132335643507187,0.256401070944573,0.289491347238363,0.571574481588993,0.563902901662696,-1.32622878297732,0.385487798476322,0.559421757601405,0.25622848708845,0.868728739954188,0.358365113336262,"no_OM"
"143",-0.00976177720195359,0.248486537988517,0.282705072234475,0.5530582759171,0.545391460428146,-1.35172900747954,0.372871587360852,0.537004276173505,0.247424961047127,0.82725075378027,0.346435239447484,"no_OM"
"153",-0.00610449492453347,0.240962081257678,0.276189970543871,0.535602009082425,0.527931090078828,-1.37517923689484,0.360923332485377,0.516311656736944,0.239211818710158,0.789642297463514,0.335162015504807,"no_OM"
"163",-0.002239729079621,0.233875984807308,0.269996105886935,0.519188292105459,0.511469963120806,-1.39718084649564,0.349642225862147,0.497165968522862,0.231608597478937,0.755324002416859,0.324556859430986,"no_OM"
